train_id,text,C0027497:Übelkeit,C0011991:Diarrhöe,C0015672:Erschöpfung,C0042963:Erbrechen,C0003123:Anorexie,C0018681:Kopfschmerzen,C0015967:Fieber,C0206062:Interstitielle Lungenerkrankung,C0023895:Leberschädigung,C0012833:Drehschwindel,C0030193:Schmerz,C0002170:Alopezie,C0004096:Analgetisches Asthma-Syndrom,C0022658:Nierenerkrankung,C0020517:Hypersensibilität,C0917801:Insomnie,C0009806:Constipation,C0005956:Knochenmarkerkrankung,C0000737:Bauchschmerzen,C0010692:Hämorrhagische Zystitis,C0015230:Ausschlag,C0149745:Stomatitis
2.0,"Mesalazin-Tabletten sind eine zugelassene Behandlung für Colitis ulcerosa, aber ich bin mir nicht sicher, ob das Generikum irgendwelche Nebenwirkungen verursacht, daher wäre es gut, wenn Ihr Arzt das überprüfen könnte <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,"Ich hatte diese Woche meine zweite Steroid-Injektion, und ich spüre mehr Schmerzen als beim letzten Mal. Es ist ein bisschen besser als gestern, aber... Ich habe es heute vor dem Schlafengehen wie verrückt aufgetragen, also weiß ich nicht, ob es nicht wirkt <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,Die Zellen können die Eigenschaften von Alveolarepithelzellen des Typs 2 nachbilden und verbessern nachweislich die Herzfunktion und verringern das Tumorrisiko im Vergleich zu Amiodaron #Pe read<url>.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,"Kann man Diabetes bekommen, wenn man Metformin nimmt? <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,"Ich habe seit gestern Abend Symptome einer Blasenentzündung und war heute wieder im Krankenhaus. Sie gaben mir Antibiotika und Schmerzmittel, aber ich hoffe, dass sie wirken - ich werde jetzt ein Bad nehmen und ins Bett gehen! <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,"<user_name> Ich habe starke Kopfschmerzen wegen des Minocyclins, das ich nehme. Aber ich frage mich, ob es eine Möglichkeit gibt, die Schmerzen auch mit Loxonin zu lindern... Es gibt auch ein pflanzliches Medikament namens Isotretinoin, aber ich nehme es, wenn ich will!",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0,Bedingungen 1. Behandlung mit Kortikosteroiden; 2. Behandlung mit Infliximab (monoklonaler Anti-g-Antikörper); 3. immunsupprimiert oder anfällig für Langzeitdiabetes; 4. cyclophos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,"<user_name> Sie nehmen Amiodaron, weil Sie in der Vergangenheit einen Herzinfarkt erlitten haben, oder weil Sie vielleicht eine Entzündung in Ihrem Herzen oder in der Lunge haben?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,"<user_name> Ich danke Ihnen für Ihre Antwort. Das Amiodaron hat bei den ventrikulären Tachykardien geholfen, aber ich bekomme immer noch Arrhythmien und sehe nicht viel auf dem TITTER, also muss ich wirklich auf der Hut sein...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,Isoniazid Antituberkulosemittel Ethambutol Optische Neuropathie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
