train_id,text,C0027497:nausea,C0011991:diarrhea,C0015672:fatigue,C0042963:vomiting,C0003123:loss of appetite,C0018681:headache,C0015967:fever,C0206062:interstitial lung disease,C0023895:liver damage,C0012833:dizziness,C0030193:pain,C0002170:alopecia,C0004096:analgesic asthma syndrome,C0022658:renal impairment,C0020517:hypersensitivity,C0917801:insomnia,C0009806:constipation,C0005956:bone marrow dysfunction,C0000737:abdominal pain,C0010692:hemorrhagic cystitis,C0015230:rash,C0149745:stomatitis
2.0,"Mesalazine tablets are approved for the treatment of ulcerative colitis, but I'm not sure if the generic drug will cause any side effects, so it would be nice if you could check with your doctor <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,"I had my second steroid shot this week and it seems more painful than last time. It's a little better than yesterday, but... I was applying it before I went to bed today like crazy, so I guess it's not working <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,The cells can reproduce the characteristics of type 2 alveolar epithelial cells and have been shown to improve cardiac function and reduce the risk of tumors compared to amiodarone #pe read<url>.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,"If I take metformin, could I get diabetes? <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,"I've been having bladder infection symptoms since last night and went to the hospital again today. They gave me antibiotics and painkillers, but I hope they work... I'm going to take a bath and go to bed! <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,"<user_name> I have a bad headache because of the minocycline I'm taking. But I wonder if there's any way I can use Loxonin to ease the pain too... There's also some herbal medicine called isotretinoin, which I take when I want to!",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0,Pathophysiology 1. treatment with corticosteroids; 2. treatment with infliximab (anti-g monoclonal antibody); 3. immunosuppressed or prone to long term diabetes; 4. cyclophosphos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,"<user_name> Are you using amiodarone because of a history of myocardial infarction, or maybe inflammation of the heart or lungs?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,"<user_name> Thanks for your reply. The amiodarone has helped with the ventricular tachycardia, but I still get arrhythmias and don't see much on the TITTER, so I really have to be on my toes...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,Isoniazid antituberculosis drug ethambutol optic neuropathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,"Minocycline is the one prescribed by the dermatologist. It's supposed to cure acne and rashes, but the side effect is dizziness! <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
