train_id,text,C0027497:nausées,C0011991:diarrhée,C0015672:fatigue,C0042963:vomissements,C0003123:anorexie,C0018681:maux de tête,C0015967:fièvre,C0206062:maladie pulmonaire interstitielle,C0023895:problèmes de foie,C0012833:vertiges flottants,C0030193:douleur,C0002170:alopécie,C0004096:syndrome d'asthme analgésique,C0022658:insuffisance rénale,C0020517:hypersensibilité,C0917801:insomnie,C0009806:constipation,C0005956:dysfonctionnement de la moelle osseuse,C0000737:douleur abdominale,C0010692:cystite hémorragique,C0015230:exanthème,C0149745:stomatite
2.0,"Les comprimés de mésalazine sont un traitement approuvé pour la colite ulcéreuse, mais je ne suis pas sûr que le médicament générique provoque des effets secondaires, il serait donc bon que votre médecin vérifie <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,"J'ai eu ma deuxième injection de stéroïdes cette semaine et je ressens plus de douleur que la dernière fois. C'est un peu mieux qu'hier mais... Je l'ai appliqué avant de me coucher aujourd'hui comme un fou, donc je ne sais pas si ça ne marche pas <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,Ces cellules peuvent reproduire les caractéristiques des cellules épithéliales alvéolaires de type 2 et il a été démontré qu'elles améliorent la fonction cardiaque et réduisent le risque de tumeurs par rapport à l'amiodarone #pe read<url>.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,"Si vous prenez de la metformine, pouvez-vous devenir diabétique ? <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,"J'ai les symptômes d'une infection de la vessie depuis hier soir et je suis retournée à l'hôpital aujourd'hui. Ils m'ont donné des antibiotiques et des analgésiques, mais j'espère qu'ils fonctionnent - je vais prendre un bain et me coucher ! <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,"<user_name> J'ai un mauvais mal de tête à cause de la minocycline que je prends. Mais je me demande s'il y a un moyen de soulager la douleur avec la Loxonine aussi... Il y a aussi un médicament à base de plantes appelé isotrétinoïne, mais je le prends quand j'en ai envie !",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0,Conditions 1. traitement avec des corticostéroïdes ; 2. traitement avec de l'infliximab (anticorps monoclonal anti-g) ; 3. immunodéprimé ou sujet à un diabète de longue durée ; 4. cyclophos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,"<user_name> Vous utilisez l'amiodarone parce que vous avez des antécédents d'infarctus du myocarde, ou peut-être avez-vous une inflammation du cœur ou des poumons ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,"<user_name> Merci pour votre réponse. L'amiodarone a aidé pour la tachycardie ventriculaire, mais j'ai toujours des arythmies et je ne vois pas grand chose sur le TITTER, donc je dois vraiment être sur mes gardes....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,Isoniazide médicament antituberculeux éthambutol Neuropathie optique.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,"La minocycline est celle qui est prescrite par les dermatologues. Elle est censée soigner l'acné et les éruptions cutanées, mais son effet secondaire est le vertige. <url>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,"<user_name> La tuberculose est une maladie mortelle si vous ne prenez pas de médicaments antituberculeux, alors ne les prenez pas à moins que vous ne soupçonniez un rhume ou une grippe ou une autre infection.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,"<user_name> Grâce à la colchicine, la douleur a beaucoup diminué ! J'ai toujours une légère fièvre, cependant.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,"<user_name> Je vois ! Le cisplatine peut provoquer des nausées et une perte d'appétit, donc tu étais aussi sous -1 et docetaxel. Je suis à l'hôpital tous les mois pour un contrôle, mais je me sens mieux qu'avant lol.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,"Après m'être demandé si je devais recevoir le vaccin corona alors que je suis allergique aux produits de contraste, 10 heures après la première dose avec Pfizer, j'ai eu une réaction indésirable. Hier soir, j'ai eu des douleurs musculaires dans les bras, mais aujourd'hui je me sens fatigué <url>.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23.0,<user_name> Je me demande si j'ai de l'asthme à l'aspirine ou autre - merci !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,"<user_name> Bonjour. Dans mon cas, je prends du méthotrexate et on m'a dit que je devrais l'arrêter si ma polyarthrite rhumatoïde s'aggrave, mais je pense que vous devriez en parler à votre médecin.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,"Je suis allée chez le dentiste et le gonflement a diminué ! Mais j'ai toujours mal, alors je prends des antibiotiques et du Loxonin, et si j'ai encore mal, je vais à l'hôpital.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,"J'ai terminé C à cause des effets secondaires du produit de contraste. J'ai commencé à me sentir mal, j'avais des nausées et je pensais que c'était dur, et ce matin, j'ai mal à la poitrine... Je vais aller à l'hôpital demain, mais je suis anxieuse parce que j'ai deux heures à attendre les résultats des tests.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28.0,Les effets secondaires de l'azathioprine sont difficiles... #Polyarteritis nodosa #Steroid pulse therapy <url>.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
