train_id,text,C0027497:悪心,C0011991:下痢,C0015672:倦怠感,C0042963:嘔吐,C0003123:食欲不振,C0018681:頭痛,C0015967:発熱,C0206062:間質性肺疾患,C0023895:肝障害,C0012833:浮動性めまい,C0030193:疼痛,C0002170:脱毛症,C0004096:鎮痛剤喘息症候群,C0022658:腎障害,C0020517:過敏症,C0917801:不眠症,C0009806:便秘,C0005956:骨髄機能不全,C0000737:腹痛,C0010692:出血性膀胱炎,C0015230:発疹,C0149745:口内炎
2.0,メサラジン錠剤は潰瘍性大腸炎の治療薬として承認されている薬だけど、ジェネリック医薬品で副作用が出ないか不安だから医師に確認してもらえたらいいよね <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,今週2回目のステロイド剤の注射したけど、前回より痛みが強い気がする。昨日より少しマシなんだけど...今日はめちゃくちゃ寝る前に塗ってたから効いてないんかな〜 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,型肺胞上皮細胞の特徴を再現できる細胞で、アミオダロンと比較して心機能の改善や腫瘍のリスク軽減などに効果が見られた #ペ読<url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,メトホルミン飲んでたら、糖尿病になる可能性が?! <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,昨日の夜から膀胱炎の症状でて、今日も病院行ってきた。抗生剤と痛み止め貰ったけど効くといいなーお風呂入って寝よっと! <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,<user_name> 私の場合ミノサイクリン飲んでるせいか頭痛が酷いです。でもロキソニンで痛みも和らげる方法は無いかなぁ...あとはイソトレチノインっていう漢方薬とかありますけど、私は飲みたい時は飲むようにしてます!,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.0,病態1. 副腎皮質ステロイド薬による治療。2. インフリキシマブ(抗gモノクローナル抗体)による治療。3. 免疫抑制状態にあったり、長期にわたり糖尿病を発症しやすい。4. シクロフォス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,<user_name> 心筋梗塞の既往あるからアミオダロン使ってるのか、もしかしたら心臓とか肺とかに炎症あったりするんじゃないか?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,<user_name> お返事ありがとうございます。アミオダロンのおかげで心室頻拍は治ってきましたが、まだ不整脈が出ていてitter上ではあまり見かけないので本当に気を抜かないとです...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,イソニアジド抗結核薬エタンブトール視神経障害,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,ミノサイクリンは、皮膚科で処方されるやつ。ニキビと疹の治す薬らしいけど、副作用にめまいがあるんだよねー。 <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,<user_name> 結核は抗結核薬を服用しないと死に至る病ですので、風邪とかインフルエンザなどの感染症が疑われるとき以外は飲まずに受診して下さいね。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,<user_name> コルヒチンのおかげで、痛みはだいぶ引いてきました!まだ微熱が残ってるけどね,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,<user_name> そうなんですね!シスプラチンは吐き気や食欲不振の原因になるので、-1とドセタキセルも併用されてましたね。私は1ヶ月に一回の検査入院だけど、その前より元気になりましたよ(笑),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,造影剤アレルギーなのにコロナワクチンを打って良いのか悩んだ末、ファイザーで1回目から10時間経過し副反応が出た。昨夜は腕が筋肉痛だったけど今日は倦怠感 <url>,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23.0,<user_name> アスピリン喘息とかあるのかな〜ありがとうございます,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,<user_name> こんにちは。私の場合、メトトレキサートを飲んでいるので関節リウマチが酷くなったら中止した方がいいと言われてますけど、主治医にも相談してみたほうがいいと思います,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
