H850,H500
1501.0,5789.0
1503.75,5805.0
1507.75,5818.0
1528.75,5826.75
1514.0,5817.25
1529.75,5809.75
1531.5,5780.25
1527.25,5768.75
1513.5,5777.25
1490.25,5772.25
1489.25,5772.25
1511.0,5794.0
1515.75,5810.25
1535.0,5800.75
1528.5,5773.0
1513.75,5765.0
1531.75,5771.25
1534.75,5794.0
1540.75,5814.0
1530.25,5800.0
1522.0,5796.0
1503.0,5778.5
1495.0,5778.5
1508.0,5773.0
1501.0,5753.0
1483.5,5755.25
1455.25,5745.5
1450.0,5756.25
1445.75,5747.75
1471.75,5737.75
1492.75,5740.75
1487.25,5748.5
1501.75,5787.5
1490.25,5788.0
1508.75,5805.0
1498.75,5782.0
1496.0,5781.5
1508.25,5782.25
1517.75,5783.25
1513.5,5791.25
1518.5,5784.25
1532.75,5790.25
1526.75,5796.5
1521.25,5806.75
1531.25,5825.0
1524.75,5793.75
1524.25,5780.75
1527.75,5774.5
1525.5,5785.0
1518.5,5795.25
1528.25,5810.75
1525.25,5810.75
1512.0,5796.25
1495.25,5786.25
1486.25,5771.0
1484.75,5767.75
1475.25,5750.5
1472.75,5767.0
1458.25,5761.25
1480.5,5786.0
1484.25,5791.75
1470.25,5769.75
1485.25,5747.25
1479.0,5761.5
1466.25,5739.0
1453.5,5764.0
1441.0,5761.5
1455.5,5796.0
1475.0,5817.75
1493.25,5830.5
1499.0,5845.25
1497.5,5848.25
1506.25,5855.25
1525.75,5854.5
1512.0,5833.25
1500.25,5806.25
1511.5,5807.75
1511.5,5797.75
1499.25,5804.0
1507.5,5825.75
1503.25,5841.75
1503.75,5847.25
1512.5,5842.0
1527.75,5844.5
1528.75,5857.0
1549.75,5871.75
1525.5,5859.25
1514.75,5857.75
1493.0,5853.0
1491.75,5859.75
1530.0,5870.5
1537.75,5870.25
1509.25,5854.0
1489.5,5842.0
1490.0,5845.5
1510.25,5867.0
1509.75,5866.0
1485.75,5842.25
1470.25,5825.75
1469.75,5800.5
1461.0,5797.5
1464.75,5811.25
1456.25,5818.75
1488.75,5828.5
1500.75,5843.0
1504.25,5839.5
1533.25,5847.75
1500.0,5850.75
1477.0,5841.0
1488.75,5844.75
1490.75,5851.25
1476.25,5840.25
1466.5,5840.75
1460.75,5834.0
1470.75,5841.5
1494.0,5848.25
1491.75,5849.25
1487.25,5860.75
1484.75,5868.0
1489.75,5867.5
1490.25,5871.5
1492.5,5866.0
1483.0,5858.5
1478.5,5851.75
1483.75,5838.5
1495.0,5831.75
1487.5,5842.75
1475.75,5822.75
1499.5,5845.0
1498.0,5848.25
1479.75,5831.0
1475.75,5831.75
1467.25,5840.0
1475.75,5857.25
1479.5,5858.75
1478.5,5856.0
1466.25,5840.75
1456.75,5819.75
1468.5,5829.5
1487.75,5848.0
1484.5,5847.0
1474.5,5841.25
1459.5,5842.0
1447.0,5842.5
1442.5,5853.25
1489.25,5884.75
1536.5,5878.5
1490.5,5850.25
1464.25,5845.75
1472.5,5864.75
1470.5,5862.5
1469.5,5850.75
1509.75,5860.75
1525.75,5865.5
1495.0,5853.0
1478.25,5855.5
1487.0,5872.5
1478.25,5874.0
1470.0,5866.0
1484.0,5887.5
1488.5,5895.0
1483.5,5880.25
1483.0,5880.25
1475.75,5879.25
1478.5,5874.5
1482.25,5878.0
1468.5,5870.5
1469.25,5869.5
1473.25,5871.0
1472.25,5879.25
1488.25,5885.0
1506.75,5894.5
1500.25,5887.25
1496.25,5888.5
1502.25,5896.25
1484.75,5882.25
1460.25,5857.75
1451.5,5854.0
1439.75,5850.5
1425.5,5835.25
1429.5,5833.75
1469.75,5866.75
1461.75,5871.0
1439.25,5860.0
1430.0,5853.0
1437.0,5856.0
1452.0,5861.5
1457.5,5866.25
1453.5,5859.5
1453.0,5861.0
1455.0,5868.0
1448.75,5870.25
1449.0,5862.75
1457.75,5857.25
1461.5,5853.75
1464.25,5855.5
1485.5,5881.25
1495.25,5891.25
1480.5,5875.25
1463.5,5861.0
1453.5,5853.5
1454.75,5850.5
1465.75,5852.25
1461.5,5851.25
1441.25,5826.25
1464.25,5846.25
1473.5,5856.75
1467.75,5852.25
1467.0,5861.25
1463.5,5863.75
1470.25,5870.5
1458.75,5849.75
1445.25,5836.25
1462.75,5851.0
1490.0,5885.25
1488.5,5890.25
1471.0,5872.75
1458.25,5845.0
1462.0,5850.5
1453.5,5847.25
1470.5,5860.25
1481.25,5874.75
1465.5,5861.0
