HUM1000,HUM0850,HUM0500
66.000015,53.00001,19.25
59.75001,49.500008,16.75
55.000008,45.750008,10.75
72.000015,66.250015,17.75
73.500015,74.500015,15.5
72.250015,71.000015,25.75
92.000015,94.750015,26.0
75.750015,72.250015,10.25
80.250015,78.750015,10.75
69.000015,66.000015,15.5
60.25001,57.25001,10.0
48.500008,42.500004,10.75
55.75001,52.00001,13.0
75.500015,73.500015,27.25
84.500015,88.250015,23.25
67.500015,66.750015,13.5
80.000015,78.750015,13.25
80.750015,85.250015,16.75
81.000015,80.750015,18.75
75.750015,76.250015,17.25
73.500015,74.750015,13.25
71.250015,71.750015,10.75
61.25001,60.000015,16.25
59.000015,61.500015,14.25
57.250008,52.75001,13.5
53.250008,41.500008,16.25
42.500004,36.250004,9.75
40.250008,35.0,8.5
43.500008,38.000004,9.75
47.750008,43.500008,11.5
68.250015,73.500015,8.0
69.750015,74.000015,3.5
74.750015,78.000015,7.75
67.250015,67.500015,6.5
41.750008,34.500004,13.75
61.250008,57.500015,18.25
60.50001,61.750015,5.75
68.750015,71.750015,10.75
85.250015,89.000015,14.25
89.250015,94.000015,30.5
97.250015,100.000015,20.75
97.250015,97.000015,14.25
93.000015,96.500015,22.0
81.750015,86.250015,8.5
86.000015,93.000015,14.0
84.000015,87.500015,13.0
88.750015,91.750015,31.75
97.500015,97.000015,59.00001
95.250015,88.500015,41.500008
82.250015,74.750015,20.0
68.250015,60.250015,32.0
90.250015,86.500015,24.0
88.500015,83.000015,31.000004
85.500015,82.000015,23.25
73.750015,68.000015,15.0
59.500008,51.500008,15.5
43.000008,32.250004,16.5
53.500008,48.000008,8.25
53.000008,50.25001,18.5
37.250004,33.500004,17.5
31.500004,25.5,20.75
29.0,25.75,21.25
33.250004,33.25,26.750004
28.0,27.75,28.5
34.75,33.75,30.0
41.750008,40.250004,22.5
40.000004,41.000004,12.75
31.750004,33.250004,9.5
34.000004,30.25,23.75
38.750004,29.25,37.5
31.000004,23.5,6.25
31.500004,25.0,16.5
38.000004,32.0,23.5
60.25001,59.00001,13.75
90.500015,92.000015,49.250008
95.750015,89.750015,37.000004
69.250015,57.750008,14.5
38.500004,28.0,17.0
39.250004,34.25,14.0
45.750008,40.500008,16.5
34.000004,28.750004,10.75
44.500008,36.000004,6.75
49.500008,50.000008,10.0
69.750015,68.500015,17.0
56.000008,56.00001,6.5
85.250015,79.000015,17.25
84.250015,82.500015,24.25
62.75001,62.75001,10.75
46.000008,41.000004,11.25
34.500004,33.0,13.0
55.000008,48.000008,28.0
96.500015,97.750015,20.75
97.750015,98.250015,31.25
89.250015,85.500015,23.0
77.250015,68.750015,37.500004
59.500008,51.75001,23.25
56.500008,52.750008,38.0
75.750015,73.250015,42.000004
54.500008,50.000008,16.75
53.000008,45.750008,25.000004
60.75001,59.75001,11.0
66.750015,59.750015,9.75
49.000008,44.750008,2.25
39.250008,38.000004,13.25
55.250008,62.50001,24.0
74.250015,73.750015,8.25
86.750015,84.500015,16.5
75.000015,74.250015,25.0
57.000008,57.000008,39.25
47.750008,49.500008,15.75
42.500008,43.750008,9.75
41.750008,42.500008,28.0
49.750008,51.750008,25.5
50.250008,50.250008,32.5
49.000008,48.500008,20.0
63.25001,59.750015,16.5
80.500015,75.250015,17.5
75.750015,75.250015,33.750004
55.750008,54.500008,9.0
51.000008,47.500008,6.75
45.500008,40.000008,10.25
44.500008,41.750008,6.5
44.250008,41.500008,17.0
47.000008,44.500008,8.5
61.75001,55.000008,25.5
96.000015,91.750015,56.250015
94.000015,85.250015,49.000008
92.750015,81.750015,60.000015
96.000015,90.000015,52.000008
95.000015,93.000015,32.250004
95.750015,92.500015,29.5
86.750015,76.750015,46.250008
75.250015,69.250015,43.250004
61.750008,59.750008,17.0
58.000008,52.250008,26.5
71.500015,59.250015,37.0
86.500015,71.250015,34.0
83.250015,74.000015,29.25
90.500015,81.500015,33.000004
98.000015,95.250015,78.000015
96.750015,96.250015,86.000015
95.500015,94.250015,81.750015
98.000015,98.250015,87.000015
97.250015,98.000015,71.750015
98.250015,99.250015,70.750015
95.750015,87.500015,95.250015
89.250015,76.250015,94.250015
85.000015,73.000015,86.250015
87.500015,81.500015,51.00001
78.000015,76.000015,72.500015
72.500015,75.000015,47.750004
75.750015,67.250015,65.500015
89.750015,84.500015,72.000015
86.000015,79.750015,82.750015
93.250015,93.500015,70.250015
99.000015,99.250015,76.000015
96.250015,94.750015,74.750015
93.750015,90.250015,79.250015
91.500015,89.750015,75.750015
96.250015,90.500015,69.500015
95.500015,86.250015,71.250015
95.750015,87.000015,66.000015
94.750015,89.750015,74.250015
94.750015,91.500015,61.250015
95.250015,92.000015,72.250015
95.250015,93.750015,79.750015
96.750015,94.750015,86.000015
96.250015,94.250015,73.250015
96.750015,94.500015,71.500015
96.500015,93.750015,62.000015
96.500015,94.750015,69.250015
95.250015,92.500015,74.000015
94.250015,94.500015,63.000015
96.000015,96.500015,48.00001
95.500015,95.500015,53.000008
95.750015,94.500015,62.500015
95.750015,95.500015,71.750015
93.750015,89.500015,68.000015
93.750015,88.500015,55.250015
95.250015,89.250015,72.500015
96.500015,94.500015,86.750015
96.500015,95.000015,72.500015
94.500015,91.250015,54.25001
93.500015,88.750015,35.0
93.500015,90.750015,39.25
93.250015,90.500015,41.250004
94.500015,89.750015,51.00001
96.000015,90.000015,77.750015
95.250015,91.500015,78.500015
96.000015,91.500015,75.250015
93.750015,87.000015,51.75001
93.250015,86.250015,39.0
92.500015,87.250015,43.500004
95.500015,92.500015,66.500015
95.750015,91.750015,84.000015
97.500015,92.500015,81.750015
96.250015,93.000015,87.750015
95.000015,91.250015,86.500015
93.750015,91.250015,84.000015
94.250015,91.750015,83.250015
96.500015,92.750015,77.000015
96.500015,94.000015,74.000015
97.000015,96.750015,84.250015
95.750015,88.250015,59.75001
95.000015,91.750015,82.250015
97.750015,97.500015,87.750015
96.000015,96.250015,84.000015
97.250015,94.000015,69.250015
95.750015,93.500015,47.000008
95.500015,92.750015,49.000008
95.000015,92.250015,57.750015
92.250015,91.500015,67.750015
93.000015,90.750015,82.000015
96.000015,93.250015,71.250015
94.500015,92.750015,43.500004
96.250015,91.000015,44.750008
95.750015,91.000015,67.000015
95.000015,90.250015,72.750015
96.000015,90.000015,78.250015
95.500015,89.500015,70.000015
96.500015,90.250015,68.750015
96.500015,91.000015,68.250015
94.750015,91.000015,65.750015
93.750015,91.000015,72.000015
95.250015,90.000015,87.250015
98.500015,91.500015,80.000015
97.500015,88.750015,73.750015
98.500015,90.000015,76.750015
97.250015,92.750015,74.750015
96.500015,88.250015,79.000015
95.250015,89.000015,76.250015
93.000015,87.250015,65.500015
95.500015,93.500015,77.750015
97.500015,96.500015,75.500015
96.250015,94.000015,75.000015
96.250015,94.750015,74.750015
97.000015,96.750015,67.500015
96.000015,94.750015,62.500015
95.250015,91.000015,59.500015
94.750015,85.750015,53.750015
93.250015,84.750015,42.250004
91.500015,81.750015,61.250015
96.250015,91.000015,78.000015
94.500015,94.250015,79.500015
96.500015,95.500015,76.000015
96.500015,97.000015,75.500015
96.250015,94.750015,79.250015
95.750015,96.250015,69.250015
91.250015,87.500015,52.25001
95.000015,94.750015,46.000008
94.250015,95.250015,67.000015
96.250015,96.000015,56.500015
96.750015,95.000015,68.500015
97.000015,96.000015,71.500015
96.500015,93.000015,34.000004
96.000015,92.500015,33.000004
96.750015,94.500015,43.000008
96.000015,94.750015,36.25
94.500015,91.000015,50.000008
92.500015,90.000015,92.750015
88.500015,85.250015,59.500015
90.000015,85.500015,51.000008
89.000015,83.000015,66.250015
92.500015,86.000015,71.500015
92.000015,85.000015,69.500015
94.000015,87.000015,62.000015
94.500015,93.750015,69.250015
97.750015,97.750015,72.750015
96.750015,96.750015,88.750015
97.750015,96.250015,79.250015
97.000015,97.250015,76.750015
97.000015,97.000015,70.250015
97.000015,93.750015,69.500015
95.750015,96.250015,66.750015
95.750015,95.500015,70.250015
95.750015,96.000015,77.250015
94.750015,97.000015,76.500015
94.250015,95.000015,52.75001
93.750015,96.000015,44.000004
94.000015,94.500015,58.750015
98.000015,98.250015,83.000015
97.750015,96.500015,72.500015
97.500015,93.750015,64.500015
96.500015,89.000015,59.000015
93.500015,83.000015,46.500008
95.500015,81.500015,56.500015
95.500015,81.750015,66.500015
94.250015,93.250015,63.000015
96.250015,93.000015,61.500015
96.500015,83.500015,47.250008
90.250015,79.250015,47.500008
97.250015,93.750015,50.250008
99.250015,99.000015,84.500015
97.000015,95.750015,86.000015
95.250015,94.000015,86.000015
96.500015,93.000015,66.000015
95.750015,94.750015,41.500004
96.250015,91.500015,19.0
87.500015,87.750015,28.5
87.250015,83.500015,27.0
84.000015,73.500015,17.0
81.750015,69.750015,55.25001
95.750015,96.000015,74.500015
97.250015,97.750015,48.500008
96.000015,96.250015,23.25
95.000015,96.250015,29.0
91.750015,94.500015,27.0
89.750015,89.750015,16.25
91.000015,92.500015,19.5
91.000015,87.500015,20.5
71.250015,60.500015,22.75
84.500015,77.250015,27.25
92.750015,91.500015,31.5
90.500015,89.250015,23.0
88.000015,88.750015,18.25
84.500015,83.000015,20.25
86.500015,84.750015,24.25
86.750015,87.250015,17.75
88.500015,87.500015,15.0
87.250015,89.000015,11.5
90.750015,88.500015,19.0
93.750015,92.000015,13.75
90.500015,84.500015,15.5
89.250015,85.000015,9.5
89.000015,83.000015,8.0
87.250015,81.000015,8.75
84.500015,78.750015,14.0
90.250015,84.500015,21.75
88.000015,82.250015,40.250004
95.000015,87.750015,40.75001
81.000015,74.500015,7.0
77.500015,77.000015,10.5
89.000015,87.000015,4.5
88.250015,87.500015,2.25
80.250015,79.750015,12.0
72.750015,62.75001,5.75
82.250015,83.750015,6.75
82.250015,78.750015,9.0
81.000015,73.500015,15.5
73.250015,64.500015,3.0
64.750015,59.50001,23.5
71.250015,69.500015,63.000015
75.250015,70.750015,54.000015
92.000015,92.500015,52.25001
94.750015,96.500015,60.500015
82.500015,83.750015,72.250015
80.750015,79.250015,32.750004
84.000015,83.250015,40.000008
91.500015,90.750015,6.75
93.000015,92.500015,8.0
96.750015,97.250015,9.5
96.750015,95.750015,8.0
97.000015,96.500015,16.25
97.000015,97.250015,20.25
94.750015,95.000015,11.5
90.250015,86.500015,7.0
91.750015,90.000015,10.25
87.250015,82.000015,21.0
82.000015,74.750015,22.75
75.500015,69.250015,28.25
86.500015,89.750015,22.0
84.750015,88.500015,26.25
84.000015,85.750015,17.25
82.500015,84.500015,14.25
79.500015,80.500015,42.0
86.250015,87.750015,20.0
97.000015,96.500015,14.0
96.500015,96.750015,40.500008
98.250015,98.750015,19.25
98.500015,98.500015,28.0
96.250015,92.250015,41.500008
87.500015,76.000015,21.5
86.500015,79.250015,29.25
99.000015,97.000015,35.000004
99.250015,96.500015,13.75
99.250015,97.750015,6.25
96.750015,95.750015,11.0
95.000015,90.000015,9.75
86.750015,81.750015,50.00001
77.000015,67.500015,23.5
71.750015,63.250015,7.75
75.250015,79.250015,10.25
76.000015,75.500015,7.0
67.000015,61.500015,10.75
67.500015,63.000015,10.0
74.500015,73.750015,10.5
63.500015,59.000015,12.5
71.500015,71.500015,8.0
74.250015,71.000015,7.0
64.500015,66.500015,21.75
71.750015,72.500015,15.25
90.250015,94.500015,27.75
91.750015,95.500015,54.00001
94.250015,94.750015,60.00001
83.750015,81.000015,14.25
74.000015,73.000015,19.75
63.750015,61.00001,15.75
74.250015,69.500015,19.75
62.750015,58.250015,27.0
51.250008,45.750008,7.75
62.250015,60.750015,6.75
59.50001,60.750015,7.25
78.000015,80.750015,3.5
81.750015,82.500015,45.000008
62.000015,61.50001,16.75
76.250015,75.000015,11.0
90.500015,93.750015,29.750004
89.500015,91.500015,36.500004
99.000015,93.750015,24.75
60.25001,60.50001,11.5
54.500008,50.500008,11.25
42.500008,33.000004,3.75
43.250008,33.75,11.75
48.500008,37.500004,14.5
51.250008,40.250004,10.75
40.750004,31.000004,11.75
43.750008,41.000004,5.75
48.000008,45.250004,8.0
36.750004,32.250004,10.5
30.750004,26.0,16.25
29.25,22.25,31.25
48.500008,42.250004,42.0
67.750015,72.750015,22.0
73.000015,73.250015,12.75
61.500008,61.00001,21.0
59.50001,53.000008,17.5
66.250015,65.500015,11.75
65.000015,62.750015,16.5
70.500015,68.000015,10.75
77.750015,80.000015,12.0
92.000015,93.250015,13.0
96.000015,97.000015,5.0
82.750015,71.250015,11.0
94.750015,88.500015,32.5
98.500015,91.750015,37.750004
90.750015,74.750015,22.5
76.250015,59.500015,21.75
71.750015,58.250015,27.25
86.500015,65.250015,40.000008
83.000015,66.250015,6.75
79.500015,75.000015,32.750004
48.000004,43.500004,23.75
35.250004,28.0,12.25
40.750008,33.250004,11.25
49.250008,44.500008,13.5
39.250004,36.000004,37.25
33.25,33.25,40.25
39.750008,37.75,33.250004
37.000008,33.25,21.5
44.750008,37.000004,33.5
