U850,V850,U200,V200
6.075012,1.6250114,44.775005,9.700008
6.3250084,1.0000076,35.650005,8.10001
4.175007,1.4750099,28.600006,9.800007
-2.0999908,2.2000084,29.150005,16.47501
1.7250099,2.8250084,30.2,18.05001
-1.9999886,0.90000534,38.35001,16.97501
-1.0999908,2.475006,44.67501,18.475014
-0.6749916,0.6750107,42.425007,15.35001
0.50001144,3.0750084,42.500004,6.0000114
4.3750076,3.7750092,44.650005,-4.099991
6.1250114,3.3000107,40.70001,-0.24999619
1.775013,0.9500084,36.475006,6.7250137
0.27500916,3.10001,34.000004,12.000008
-1.2749901,3.5000114,41.975002,18.225006
-0.6499901,5.350006,55.000004,8.750004
2.22501,3.0250053,58.500004,1.9750099
-2.64999,3.025013,53.350006,-3.9999886
-0.5249901,5.525009,43.60001,3.1750069
0.62501144,5.525013,40.175007,4.47501
1.9250107,5.150009,41.22501,7.85001
-0.9499893,3.22501,39.750008,9.600014
3.5500069,4.4250107,41.9,12.050011
3.1750107,4.8750076,43.575005,20.475006
2.4250145,3.8750114,46.52501,30.475006
3.60001,0.7000084,50.70001,12.450005
4.675007,1.9500084,49.700005,-7.724991
7.775009,1.3500061,41.500008,1.2250099
9.650013,-1.8499908,39.0,4.7500114
6.0000076,-2.6249886,37.275005,8.275005
0.02500534,0.05001068,44.100002,11.375008
0.6000061,2.8000069,47.95001,6.7000084
2.72501,4.0750084,48.125008,4.8500137
2.8750076,5.6250076,41.700005,3.0750084
7.47501,4.1750107,37.250008,7.225006
4.6750107,0.02500534,34.025005,7.35001
3.7750092,3.5750084,32.300007,14.675011
5.3000107,4.150009,32.975002,16.02501
1.9250069,3.1500092,37.775005,13.375008
-0.59999084,4.675007,41.550007,11.375008
-0.32498932,5.4500084,34.875004,11.450008
-1.7499924,6.47501,38.750004,24.950012
-0.9999924,5.275009,43.20001,22.050003
0.22500992,5.9000053,44.750008,24.575008
0.87501144,4.35001,37.175003,13.950012
-1.7749939,6.60001,23.700008,-5.02499
-0.6749878,5.7500076,38.57501,4.1250076
-0.84999466,6.4500084,45.375004,4.10001
0.12500381,5.1250114,38.800007,14.72501
0.40000916,3.600006,43.32501,23.325005
3.8750076,3.10001,48.125004,16.15001
1.2000084,3.1750069,45.325005,15.900013
0.5000076,5.925007,43.425003,12.700008
3.0500069,6.3000145,39.57501,8.000011
3.5000114,6.7500076,40.750004,-2.1249886
5.900009,4.3000107,36.82501,7.8250046
6.550007,1.4750061,40.800007,15.625008
7.150009,-2.4749908,49.450005,10.400005
0.6250076,1.5500107,46.550007,7.1750107
4.85001,4.275009,38.675003,8.475006
9.400005,1.6750069,40.075005,21.925007
7.500004,0.7000122,42.475006,21.35001
7.6250114,4.60001,42.32501,17.72501
9.825012,0.17501068,47.750004,21.200008
6.900009,-0.72498703,44.475002,12.825012
7.8000107,-0.24999237,41.52501,-12.199989
8.300011,-0.44998932,37.025005,-7.89999
12.000011,-2.89999,23.15001,-0.27499008
8.000008,-4.89999,14.650009,12.450008
2.0250092,-1.4249916,19.700008,18.500008
6.4500084,-0.97499084,20.22501,17.92501
5.6750107,-0.87498856,19.52501,12.650013
4.075012,1.8000107,20.65001,15.950008
